Date,HOUR_BIN,passenger_count
2018-03-13,4,2146.0
2018-03-13,8,6653.0
2018-03-13,12,6618.0
2018-03-13,16,8935.0
2018-03-13,20,6192.0
2018-03-14,0,1640.0
2018-03-14,4,2402.0
2018-03-14,8,7923.0
2018-03-14,12,7255.0
2018-03-14,16,10271.0
2018-03-14,20,7578.0
2018-03-15,0,2024.0
2018-03-15,4,2506.0
2018-03-15,8,8032.0
2018-03-15,12,7299.0
2018-03-15,16,11439.0
2018-03-15,20,8481.0
2018-03-16,0,2847.0
2018-03-16,4,2590.0
2018-03-16,8,7866.0
2018-03-16,12,7200.0
2018-03-16,16,11596.0
2018-03-16,20,10287.0
2018-03-17,0,5909.0
2018-03-17,4,2200.0
2018-03-17,8,5767.0
2018-03-17,12,8259.0
2018-03-17,16,10093.0
2018-03-17,20,9924.0
2018-03-18,0,6943.0
2018-03-18,4,2787.0
2018-03-18,8,4602.0
2018-03-18,12,7169.0
2018-03-18,16,8068.0
2018-03-18,20,5371.0
2018-03-19,0,1579.0
2018-03-19,4,2368.0
2018-03-19,8,7445.0
2018-03-19,12,6440.0
2018-03-19,16,8499.0
2018-03-19,20,5622.0
2018-03-20,0,1559.0
2018-03-20,4,2626.0
2018-03-20,8,8045.0
2018-03-20,12,7389.0
2018-03-20,16,9701.0
2018-03-20,20,6461.0
2018-03-21,0,1577.0
2018-03-21,4,1594.0
2018-03-21,8,3737.0
2018-03-21,12,3173.0
2018-03-21,16,3371.0
2018-03-21,20,2065.0
2018-03-22,0,665.0
2018-03-22,4,1914.0
2018-03-22,8,6910.0
2018-03-22,12,6472.0
2018-03-22,16,9939.0
2018-03-22,20,7661.0
2018-03-23,0,2677.0
2018-03-23,4,2482.0
2018-03-23,8,7586.0
2018-03-23,12,6938.0
2018-03-23,16,11208.0
2018-03-23,20,9782.0
2018-03-24,0,5873.0
2018-03-24,4,2439.0
2018-03-24,8,6102.0
2018-03-24,12,8003.0
2018-03-24,16,9969.0
2018-03-24,20,10103.0
2018-03-25,0,6562.0
2018-03-25,4,2398.0
2018-03-25,8,4876.0
2018-03-25,12,7274.0
2018-03-25,16,7626.0
2018-03-25,20,5379.0
2018-03-26,0,1418.0
2018-03-26,4,2369.0
2018-03-26,8,7031.0
2018-03-26,12,6503.0
2018-03-26,16,8816.0
2018-03-26,20,5840.0
2018-03-27,0,1397.0
2018-03-27,4,2316.0
2018-03-27,8,7436.0
2018-03-27,12,6633.0
2018-03-27,16,9351.0
2018-03-27,20,6348.0
2018-03-28,0,1719.0
2018-03-28,4,2281.0
2018-03-28,8,7361.0
2018-03-28,12,6797.0
2018-03-28,16,9763.0
2018-03-28,20,6566.0
2018-03-29,0,1989.0
2018-03-29,4,2326.0
2018-03-29,8,7880.0
2018-03-29,12,7387.0
2018-03-29,16,10635.0
2018-03-29,20,7641.0
2018-03-30,0,2731.0
2018-03-30,4,1963.0
2018-03-30,8,6526.0
2018-03-30,12,6753.0
2018-03-30,16,11322.0
2018-03-30,20,9015.0
2018-03-31,0,5547.0
2018-03-31,4,2114.0
2018-03-31,8,5191.0
2018-03-31,12,8015.0
2018-03-31,16,10405.0
2018-03-31,20,10023.0
2018-04-01,0,5878.0
2018-04-01,4,2379.0
2018-04-01,8,4738.0
2018-04-01,12,7190.0
2018-04-01,16,7812.0
2018-04-01,20,6360.0
2018-04-02,0,1621.0
2018-04-02,4,1644.0
2018-04-02,8,5014.0
2018-04-02,12,5752.0
2018-04-02,16,7908.0
2018-04-02,20,5012.0
2018-04-03,0,1286.0
2018-04-03,4,1963.0
2018-04-03,8,7073.0
2018-04-03,12,7505.0
2018-04-03,16,9731.0
2018-04-03,20,5952.0
2018-04-04,0,1457.0
2018-04-04,4,2033.0
2018-04-04,8,7093.0
2018-04-04,12,6966.0
2018-04-04,16,9563.0
2018-04-04,20,7149.0
2018-04-05,0,2025.0
2018-04-05,4,2153.0
2018-04-05,8,7657.0
2018-04-05,12,7426.0
2018-04-05,16,10427.0
2018-04-05,20,7886.0
2018-04-06,0,2563.0
2018-04-06,4,2088.0
2018-04-06,8,7468.0
2018-04-06,12,6559.0
2018-04-06,16,10681.0
2018-04-06,20,9183.0
2018-04-07,0,6023.0
2018-04-07,4,2192.0
2018-04-07,8,5483.0
2018-04-07,12,7916.0
2018-04-07,16,9764.0
